Land_ID,District,Taluk,Village,Survey_No,Extent_Hectares,Area_Sqft,Soil_pH,No_of_Owners,Ownership_Type,Land_Type,Soil_Type,Flood_Risk,Water_Availability,Document_Issue,Owner_Objection,Court_Case,Compensation_Status,FMB,A_Register,Document_Verified,Objection,Acquisition_Days,Delay_Status,Delay_Risk_Band,latitude,longitude,Source_Reference
ACQ_SYN_000014,Coimbatore,Coimbatore,Oragadam 20,372/1461,8.7693,943918.92,8.9,10,Joint,Coastal,Saline,Yes,No,Not Available,Yes,Yes,Verification completed,No,Yes,No,Yes,22.0,No Delay,Low,10.958891202896888,77.02868109516011,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000015,Tiruchirappalli,Tiruchirappalli,Samayapuram 14,352/1377,15.5533,1674141.36,6.3,15,Joint,Barren,Sandy,No,Yes,Available,Yes,No,Withheld pending court,Yes,Yes,Yes,Yes,0.0,No Delay,Low,10.753314487649044,78.69887467190959,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000016,Cuddalore,Cuddalore,Ayappan Pattinam 5,383/1509,10.5238,1132770.25,6.0,10,Joint,Industrial,Sandy,No,Yes,Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,0.0,No Delay,Low,11.80592071411136,79.62471497680107,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000017,Madurai,Madurai,Karanai 18,251/985,7.1586,770548.29,7.4,8,Joint,Forest,Alluvial,Yes,Yes,Not Available,No,No,Verification completed,Yes,Yes,Yes,No,153.0,Delayed,High,9.958251753277876,78.07547699660947,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000018,Vellore,Vellore,Siruseri 1,63/246,3.3494,360525.06,6.0,16,Joint,Coastal,Sandy,Yes,No,Not Available,Yes,Yes,To be paid,Yes,Yes,No,Yes,0.0,No Delay,Low,12.933885417228588,79.13173019598234,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000019,Chennai,Chennai,Siruseri 1,406/1612,15.5664,1675551.07,7.0,14,Joint,Residential,Red Soil,Yes,Yes,Available,Yes,Yes,To be paid,Yes,Yes,Yes,Yes,0.0,No Delay,Low,13.072850891031496,80.2670216432753,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000020,Erode,Erode,Kallikudi 14,221/865,23.9662,2579700.38,7.2,9,Joint,Industrial,Urban Fill,No,Yes,Available,Yes,Yes,Withheld pending court,Yes,Yes,Yes,Yes,315.0,Delayed,High,11.379263789806776,77.74388590419062,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000021,Karur,Karur,Manapakkam 12,246/961,18.8678,2030918.26,7.3,18,Joint,Industrial,Alluvial,No,No,Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,159.0,Delayed,High,10.980819365376096,78.05040929331949,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000022,Krishnagiri,Krishnagiri,Sholinganallur 15,183/712,12.4157,1336414.77,8.4,17,Joint,Barren,Saline,No,Yes,Available,No,No,To be paid,Yes,Yes,Yes,No,40.0,No Delay,Low,12.512450604154234,78.23650531902436,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000023,Tirunelveli,Tirunelveli,Nandambakkam 4,90/351,8.8499,952594.5,7.1,16,Joint,Residential,Red Soil,No,Yes,Not Available,Yes,Yes,Objection enquiry,No,Yes,No,Yes,264.0,Delayed,High,8.6587458289034,77.7409235729112,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000024,Tiruchirappalli,Tiruchirappalli,Neelambur 3,451/1779,21.3591,2299077.41,7.9,16,Joint,Coastal,Black Cotton,Yes,No,Not Available,Yes,No,Objection enquiry,No,Yes,No,Yes,211.0,Delayed,High,10.79410761971769,78.62851306301323,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000025,Cuddalore,Cuddalore,Oragadam 8,381/1500,22.5649,2428862.01,6.7,11,Joint,Residential,Red Soil,No,Yes,Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,32.0,No Delay,Low,11.755403536495832,79.69355346257298,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000026,Tiruchirappalli,Tiruchirappalli,Pudur 12,315/1236,3.7529,403953.46,8.5,18,Joint,Residential,Saline,No,No,Not Available,Yes,Yes,To be paid,No,Yes,No,Yes,0.0,No Delay,Low,10.839298684691911,78.71849231655801,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000027,Kancheepuram,Kancheepuram,Sholinganallur 15,198/773,23.5132,2530942.38,7.3,16,Joint,Commercial,Urban Fill,No,Yes,Not Available,Yes,Yes,To be paid,Yes,Yes,No,Yes,156.0,Delayed,High,12.801321148412008,79.70251811438949,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000028,Salem,Salem,Thogamalai 20,400/1579,6.1276,659564.13,8.7,8,Joint,Commercial,Saline,No,Yes,Not Available,Yes,Yes,Verification completed,Yes,Yes,No,Yes,228.0,Delayed,High,11.69766998001832,78.16668589250983,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000029,Erode,Erode,Manapakkam 8,267/1047,24.3122,2616939.15,6.6,19,Joint,Coastal,Loamy,Yes,Yes,Available,Yes,Yes,Objection enquiry,Yes,Yes,Yes,Yes,301.0,Delayed,High,11.39067359184746,77.677322271922,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000030,Coimbatore,Coimbatore,Oragadam 8,217/851,7.6395,822312.82,7.4,11,Joint,Commercial,Alluvial,No,Yes,Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,253.0,Delayed,High,11.022164070883465,76.94355727496345,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000031,Erode,Erode,Kallikudi 14,221/865,22.6519,2438235.56,7.7,9,Joint,Industrial,Urban Fill,No,Yes,Available,Yes,Yes,Withheld pending court,Yes,Yes,Yes,Yes,315.0,Delayed,High,11.378195319489016,77.73479531531979,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000032,Vellore,Vellore,Padur 15,115/437,21.3343,2296401.47,7.1,15,Joint,Commercial,Urban Fill,No,No,Not Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,16.0,No Delay,Low,12.911983312711293,79.19152827117851,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000033,Cuddalore,Cuddalore,Neelambur 6,44/177,9.0075,969562.87,8.5,16,Joint,Barren,Saline,No,Yes,Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,275.0,Delayed,High,11.727344991846198,79.60128232984857,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000034,Dharmapuri,Dharmapuri,Perungalathur 1,272/1065,13.0349,1403060.48,7.1,9,Joint,Residential,Alluvial,No,No,Not Available,Yes,No,To be paid,Yes,Yes,No,Yes,233.0,Delayed,High,12.12296465677521,78.15755293588235,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000035,Salem,Salem,Samayapuram 20,429/1704,9.1206,981735.4,6.4,17,Joint,Industrial,Sandy,No,No,Not Available,Yes,Yes,Verification completed,Yes,Yes,No,Yes,146.0,Delayed,High,11.640406867826783,78.17292449645319,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000036,Karur,Karur,Sriperumbudur 2,29/123,16.3612,1761109.19,6.8,5,Joint,Industrial,Loamy,Yes,Yes,Available,No,No,To be paid,Yes,Yes,Yes,No,0.0,No Delay,Low,10.994185300854202,78.0779673591462,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000037,Thanjavur,Thanjavur,Oragadam 3,415/1648,10.7213,1154025.84,7.2,18,Joint,Commercial,Urban Fill,No,Yes,Not Available,Yes,No,Withheld pending court,Yes,Yes,No,Yes,110.0,Delayed,Medium,10.843040861398103,79.17807543559141,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000038,Salem,Salem,Sriperumbudur 7,402/1589,23.3242,2510595.78,7.7,16,Joint,Forest,Black Cotton,No,Yes,Not Available,Yes,Yes,Objection enquiry,Yes,Yes,Yes,Yes,67.0,Delayed,Medium,11.632225141413658,78.14346768170542,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000039,Erode,Erode,Ayappan Pattinam 14,137/532,20.9075,2250467.99,7.1,5,Joint,Residential,Alluvial,Yes,Yes,Not Available,Yes,Yes,Verification completed,No,Yes,No,Yes,196.0,Delayed,High,11.307171743413727,77.64193440315947,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000040,Thanjavur,Thanjavur,Pudur 18,309/1213,11.7363,1263288.92,7.0,18,Joint,Agricultural,Red Soil,Yes,Yes,Not Available,No,No,Verification pending,Yes,Yes,No,No,206.0,Delayed,High,10.760387992262856,79.14661036842487,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000041,Krishnagiri,Krishnagiri,Manapakkam 1,82/318,9.09,978437.14,7.4,7,Joint,Residential,Urban Fill,No,No,Available,Yes,No,Objection enquiry,Yes,Yes,Yes,Yes,274.0,Delayed,High,12.522118068747943,78.17697854413953,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000042,Coimbatore,Coimbatore,Kallikudi 5,370/1455,24.334,2619285.25,8.7,12,Joint,Forest,Saline,Yes,Yes,Not Available,Yes,No,To be paid,Yes,Yes,No,Yes,0.0,No Delay,Low,11.016231073881528,76.94536638888977,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000043,Thanjavur,Thanjavur,Oragadam 16,345/1345,8.9124,959326.07,6.3,15,Joint,Residential,Loamy,No,Yes,Not Available,Yes,No,Verification pending,Yes,Yes,No,Yes,79.0,Delayed,Medium,10.848694982168665,79.19030055250919,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000044,Karur,Karur,Pammalur 9,175/681,7.843,844213.3,8.7,18,Joint,Barren,Saline,No,No,Not Available,Yes,Yes,Withheld pending court,Yes,Yes,No,Yes,257.0,Delayed,High,10.939503392265458,78.09866898013985,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000045,Karur,Karur,Pammalur 7,30/131,17.2907,1861156.84,7.2,12,Joint,Forest,Urban Fill,Yes,Yes,Not Available,Yes,Yes,Objection enquiry,Yes,Yes,No,Yes,364.0,Delayed,High,10.98629768152603,78.11836646807146,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000046,Thoothukudi,Thoothukudi,Manapakkam 11,470/1863,18.3231,1972283.66,6.3,12,Joint,Agricultural,Sandy,No,Yes,Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,193.0,Delayed,High,8.705213115790807,78.02059775198994,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000047,Coimbatore,Coimbatore,Neelambur 16,219/856,6.0358,649683.85,7.5,6,Joint,Residential,Alluvial,No,Yes,Not Available,Yes,No,Verification pending,Yes,Yes,No,Yes,0.0,No Delay,Low,11.017986682325,76.9275847302664,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000048,Salem,Salem,Siruseri 6,432/1714,24.8082,2670332.96,7.4,7,Joint,Forest,Alluvial,No,No,Not Available,Yes,Yes,Verification pending,No,Yes,No,Yes,0.0,No Delay,Low,11.61086792885044,78.20104071004837,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000049,Namakkal,Namakkal,Siruseri 4,334/1301,7.7877,838258.94,8.8,18,Joint,Agricultural,Saline,No,No,Not Available,Yes,No,Objection enquiry,Yes,Yes,Yes,Yes,186.0,Delayed,High,11.256151158411482,78.15844592081984,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000050,Coimbatore,Coimbatore,Kallikudi 12,379/1494,14.9769,1612103.53,6.8,6,Joint,Barren,Red Soil,No,Yes,Available,Yes,Yes,Verification pending,Yes,Yes,Yes,Yes,0.0,No Delay,Low,11.016771905843418,76.96895584613316,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000051,Coimbatore,Coimbatore,Pammalur 12,371/1459,3.7273,401198.24,8.0,10,Joint,Industrial,Black Cotton,Yes,Yes,Not Available,Yes,Yes,Objection enquiry,Yes,Yes,No,Yes,374.0,Delayed,High,10.988841090820411,77.01851141717066,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000052,Ranipet,Ranipet,Sholinganallur 2,99/374,20.0272,2155710.9,7.5,18,Joint,Barren,Alluvial,No,Yes,Not Available,Yes,Yes,Objection enquiry,No,Yes,No,Yes,188.0,Delayed,High,12.896781356900254,79.32787840223679,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000053,Krishnagiri,Krishnagiri,Sriperumbudur 17,181/699,12.6576,1362451.51,7.5,11,Joint,Coastal,Black Cotton,Yes,Yes,Not Available,Yes,No,To be paid,Yes,Yes,No,Yes,84.0,Delayed,Medium,12.539466450503594,78.18626824018241,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000054,Ranipet,Ranipet,Pammalur 1,228/896,12.4904,1344454.62,6.7,9,Joint,Agricultural,Red Soil,No,No,Not Available,Yes,Yes,Withheld pending court,Yes,Yes,No,Yes,164.0,Delayed,High,12.947272598774656,79.34583496993855,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000055,Thanjavur,Thanjavur,Sholinganallur 18,244/956,15.0935,1624648.77,6.1,13,Joint,Barren,Sandy,Yes,Yes,Not Available,Yes,No,Verification completed,Yes,Yes,No,Yes,205.0,Delayed,High,10.795193275551268,79.09588027812113,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000056,Salem,Salem,Perungalathur 11,20/85,14.7365,1586220.5,8.4,9,Joint,Coastal,Saline,Yes,Yes,Not Available,Yes,Yes,To be paid,Yes,Yes,Yes,Yes,84.0,Delayed,Medium,11.645949379634663,78.07839845816707,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000057,Erode,Erode,Pammalur 20,268/1049,25.5481,2749979.97,6.7,18,Joint,Agricultural,Red Soil,No,No,Not Available,Yes,Yes,Verification pending,Yes,Yes,No,Yes,114.0,Delayed,Medium,11.398143807561086,77.68812416872235,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000058,Tiruvallur,Tiruvallur,Kallikudi 14,76/297,16.8339,1811986.56,6.6,14,Joint,Commercial,Sandy,No,No,Available,Yes,No,Verification pending,Yes,Yes,Yes,Yes,139.0,Delayed,High,13.121418240568431,79.88892122893789,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000059,Cuddalore,Cuddalore,Ayappan Pattinam 19,364/1427,17.0764,1838091.25,7.1,14,Joint,Residential,Alluvial,No,No,Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,181.0,Delayed,High,11.713528871879598,79.65494378888843,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000060,Namakkal,Namakkal,Kelambakkam 4,336/1311,6.6062,711083.93,6.4,6,Joint,Coastal,Sandy,Yes,Yes,Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,28.0,No Delay,Low,11.273922770309872,78.21787640545958,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000061,Tiruchirappalli,Tiruchirappalli,Ayappan Pattinam 18,449/1771,10.3388,1112857.86,7.5,19,Joint,Coastal,Black Cotton,Yes,Yes,Available,Yes,Yes,Withheld pending court,Yes,Yes,Yes,Yes,0.0,No Delay,Low,10.80752348513253,78.73858414106157,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000062,Cuddalore,Cuddalore,Sriperumbudur 15,364/1430,18.2899,1968708.8,7.2,14,Joint,Agricultural,Alluvial,Yes,Yes,Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,181.0,Delayed,High,11.766286660701148,79.69796100565871,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000063,Krishnagiri,Krishnagiri,Padur 1,182/704,8.7204,938654.09,8.6,16,Joint,Forest,Saline,Yes,Yes,Not Available,Yes,No,To be paid,Yes,Yes,No,Yes,432.0,Delayed,High,12.478930153939638,78.2162971436786,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000064,Thoothukudi,Thoothukudi,Siruseri 1,468/1857,15.5828,1677322.01,7.4,17,Joint,Agricultural,Alluvial,No,No,Not Available,Yes,Yes,Verification pending,Yes,Yes,No,Yes,0.0,No Delay,Low,8.703932881203938,78.05796657644939,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000065,Kancheepuram,Kancheepuram,Pudur 20,201/789,14.5998,1571513.0,7.5,10,Joint,Industrial,Alluvial,No,No,Available,Yes,Yes,To be paid,Yes,Yes,Yes,Yes,0.0,No Delay,Low,12.830757754503,79.64090148337489,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000066,Namakkal,Namakkal,Kelambakkam 5,161/626,10.7234,1154255.43,7.4,7,Joint,Agricultural,Urban Fill,No,Yes,Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,41.0,No Delay,Low,11.243865344105002,78.20059861426559,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000067,Cuddalore,Cuddalore,Pudur 9,439/1738,16.6747,1794854.68,7.1,17,Joint,Commercial,Urban Fill,No,Yes,Available,Yes,No,To be paid,Yes,Yes,Yes,Yes,193.0,Delayed,High,11.801422259445596,79.68128177582952,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000068,Krishnagiri,Krishnagiri,Karanai 17,183/711,22.7136,2444868.74,7.2,17,Joint,Agricultural,Alluvial,No,Yes,Available,No,No,To be paid,Yes,Yes,Yes,No,40.0,No Delay,Low,12.57842154882968,78.26217754764428,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000069,Tirunelveli,Tirunelveli,Samayapuram 14,34/147,6.0418,650329.06,7.5,10,Joint,Agricultural,Alluvial,No,No,Not Available,Yes,Yes,Withheld pending court,No,Yes,No,Yes,0.0,No Delay,Low,8.75745084409755,77.70813755512994,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000070,Kancheepuram,Kancheepuram,Thogamalai 13,229/902,7.4738,804469.75,7.2,6,Joint,Coastal,Urban Fill,Yes,No,Not Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,89.0,Delayed,Medium,12.80557300482537,79.7935090688221,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000071,Cuddalore,Cuddalore,Oragadam 16,387/1527,15.1488,1630599.69,7.0,16,Joint,Forest,Alluvial,Yes,Yes,Available,Yes,Yes,Withheld pending court,Yes,Yes,Yes,Yes,369.0,Delayed,High,11.759061471674976,79.73375229009126,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000072,Chengalpattu,Chengalpattu,Samayapuram 9,95/364,21.3242,2295317.53,6.9,16,Joint,Agricultural,Urban Fill,No,No,Not Available,Yes,Yes,Verification completed,Yes,Yes,No,Yes,218.0,Delayed,High,12.716523448960274,79.9352884521325,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000073,Ranipet,Ranipet,Siruseri 8,226/889,3.2394,348691.24,6.0,8,Joint,Forest,Sandy,Yes,Yes,Available,Yes,No,To be paid,Yes,Yes,Yes,Yes,0.0,No Delay,Low,12.961228906962171,79.36321868898854,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000074,Vellore,Vellore,Kallikudi 18,64/250,4.6892,504741.33,6.6,17,Joint,Forest,Loamy,Yes,Yes,Not Available,No,No,To be paid,No,Yes,No,No,0.0,No Delay,Low,12.878504041244913,79.0893959844301,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000075,Namakkal,Namakkal,Oragadam 9,338/1318,22.3779,2408740.71,6.2,8,Joint,Agricultural,Sandy,No,Yes,Not Available,Yes,Yes,To be paid,Yes,Yes,No,Yes,0.0,No Delay,Low,11.217329499959275,78.16614791435461,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000076,Thoothukudi,Thoothukudi,Kelambakkam 16,232/913,22.7964,2453781.83,6.7,13,Joint,Residential,Loamy,Yes,Yes,Not Available,Yes,No,Verification completed,Yes,Yes,No,Yes,54.0,No Delay,Low,8.779532100079896,78.03013504490414,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000077,Tiruchirappalli,Tiruchirappalli,Karanai 2,163/634,16.5433,1780709.44,7.8,15,Joint,Coastal,Black Cotton,Yes,No,Available,Yes,Yes,To be paid,Yes,Yes,Yes,Yes,386.0,Delayed,High,10.767381207815683,78.6478687778112,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000078,Vellore,Vellore,Kallikudi 20,115/436,14.2335,1532082.65,7.3,15,Joint,Forest,Alluvial,No,Yes,Not Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,16.0,No Delay,Low,12.954161961912652,79.09671405291587,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000079,Krishnagiri,Krishnagiri,Sriperumbudur 3,276/1084,16.8604,1814840.29,6.7,16,Joint,Forest,Loamy,Yes,Yes,Available,Yes,No,Withheld pending court,Yes,Yes,Yes,Yes,246.0,Delayed,High,12.544484023245094,78.18160012232721,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000080,Tiruvallur,Tiruvallur,Oragadam 15,328/1286,12.2192,1315262.87,6.1,13,Joint,Industrial,Sandy,No,No,Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,206.0,Delayed,High,13.149379087236587,79.94344729316764,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000081,Coimbatore,Coimbatore,Siruseri 11,456/1805,22.3906,2410109.37,8.0,17,Joint,Residential,Black Cotton,No,No,Not Available,Yes,Yes,Objection enquiry,No,Yes,No,Yes,157.0,Delayed,High,11.00455597137943,76.87647569576966,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000082,Tiruchirappalli,Tiruchirappalli,Pudur 19,213/839,16.0285,1725295.73,8.4,14,Joint,Commercial,Saline,No,Yes,Available,Yes,No,To be paid,Yes,Yes,Yes,Yes,0.0,No Delay,Low,10.790575401207738,78.70841142256663,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000083,Tiruvallur,Tiruvallur,Siruseri 2,79/309,20.3581,2191331.76,8.5,14,Joint,Barren,Saline,No,Yes,Not Available,Yes,No,To be paid,Yes,Yes,No,Yes,0.0,No Delay,Low,13.17359697223877,79.86487353382283,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000084,Salem,Salem,Siruseri 8,404/1598,3.4506,371424.51,6.4,6,Joint,Forest,Loamy,No,No,Not Available,Yes,No,Verification pending,No,Yes,No,Yes,0.0,No Delay,Low,11.671999943406004,78.13499678540477,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000085,Thanjavur,Thanjavur,Nandambakkam 20,308/1209,17.5437,1888391.13,7.6,20,Joint,Forest,Black Cotton,No,Yes,Not Available,Yes,Yes,Objection enquiry,Yes,Yes,No,Yes,305.0,Delayed,High,10.822884055960223,79.0983784806421,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000086,Ranipet,Ranipet,Nandambakkam 13,344/1344,20.0969,2163214.81,7.4,11,Joint,Residential,Alluvial,No,Yes,Not Available,Yes,Yes,Verification completed,Yes,Yes,No,Yes,237.0,Delayed,High,12.87751645608125,79.3749203419454,AcquiSight 20K Synthetic Augmented Dataset
