parcel_id,la_case_id,village_name,tehsil,district,state,area_ha,land_use_type,soil_class,irrigation_status,market_value_per_ha_inr,compensation_rate_per_ha_inr,latitude,longitude
44,11,Ayappan Pattinam 10,Karur,Karur,Tamil Nadu,5.99,Industrial,Loamy,Non-Irrigated,13216385,16752186,10.97992,78.09455
45,11,Oragadam 6,Karur,Karur,Tamil Nadu,16.21,Coastal,Saline,Partly Irrigated,13636028,15334269,10.97067,78.12372
46,12,Padur 1,Karur,Karur,Tamil Nadu,21.56,Commercial,Saline,Irrigated,28562315,35357975,10.94876,78.04543
47,12,Perungalathur 12,Karur,Karur,Tamil Nadu,22.26,Commercial,Urban Fill,Non-Irrigated,41276332,47973724,10.9281,78.09488
48,12,Kelambakkam 5,Karur,Karur,Tamil Nadu,4.55,Residential,Saline,Non-Irrigated,63908280,72279285,10.92496,78.0598
49,13,Samayapuram 16,Karur,Karur,Tamil Nadu,4.12,Coastal,Loamy,Irrigated,40124383,52465945,10.98965,78.04737
50,13,Karanai 13,Karur,Karur,Tamil Nadu,16.78,Commercial,Urban Fill,Irrigated,50432262,60558709,11.00426,78.09443
51,13,Madhavaram 3,Karur,Karur,Tamil Nadu,14.69,Forest,Black Cotton,Non-Irrigated,42187779,50711870,10.98653,78.10267
52,13,Oragadam 15,Karur,Karur,Tamil Nadu,6.45,Residential,Black Cotton,Irrigated,40212437,43307286,10.91271,78.13276
53,13,Manapakkam 6,Karur,Karur,Tamil Nadu,20.69,Commercial,Loamy,Irrigated,44735949,54875863,10.94658,78.05811
54,14,Padur 9,Salem,Salem,Tamil Nadu,10.45,Industrial,Loamy,Partly Irrigated,12381301,16523808,11.7108,78.17373
55,14,Siruseri 3,Salem,Salem,Tamil Nadu,17.08,Coastal,Alluvial,Irrigated,21538781,23303090,11.71214,78.13858
56,14,Ayappan Pattinam 6,Salem,Salem,Tamil Nadu,21.36,Residential,Saline,Irrigated,21203275,25826483,11.65732,78.09368
57,14,Oragadam 12,Salem,Salem,Tamil Nadu,15.15,Agricultural,Red Soil,Irrigated,23158534,30529749,11.62622,78.19605
58,14,Thogamalai 14,Salem,Salem,Tamil Nadu,17.03,Residential,Saline,Partly Irrigated,14045022,18134180,11.66688,78.16675
59,14,Sriperumbudur 9,Salem,Salem,Tamil Nadu,10.2,Industrial,Loamy,Partly Irrigated,10445083,13466677,11.62515,78.18874
60,15,Siruseri 13,Salem,Salem,Tamil Nadu,11.43,Commercial,Loamy,Partly Irrigated,74505556,86814819,11.62062,78.19198
61,15,Ayappan Pattinam 2,Salem,Salem,Tamil Nadu,18.65,Residential,Loamy,Non-Irrigated,36947721,40768065,11.63556,78.14933
62,15,Oragadam 10,Salem,Salem,Tamil Nadu,18.95,Agricultural,Black Cotton,Partly Irrigated,28199054,33975552,11.6695,78.10198
63,16,Ayappan Pattinam 8,Salem,Salem,Tamil Nadu,5.23,Barren,Saline,Irrigated,17351846,20046130,11.7055,78.20286
64,16,Samayapuram 3,Salem,Salem,Tamil Nadu,4.47,Residential,Loamy,Non-Irrigated,21408139,23146377,11.63539,78.09034
65,16,Karanai 13,Salem,Salem,Tamil Nadu,11.14,Coastal,Red Soil,Non-Irrigated,15700317,17615119,11.68568,78.20189
66,17,Kelambakkam 17,Salem,Salem,Tamil Nadu,15.02,Commercial,Loamy,Partly Irrigated,23639827,31865763,11.61803,78.16461
67,17,Nandambakkam 9,Salem,Salem,Tamil Nadu,12.66,Forest,Urban Fill,Irrigated,19377565,23204515,11.66483,78.11138
68,17,Oragadam 6,Salem,Salem,Tamil Nadu,24.25,Barren,Sandy,Partly Irrigated,8619711,11130269,11.64009,78.19934
69,17,Sholinganallur 20,Salem,Salem,Tamil Nadu,7.79,Commercial,Saline,Partly Irrigated,12602188,16474472,11.68753,78.16214
70,17,Kallikudi 6,Salem,Salem,Tamil Nadu,20.8,Barren,Loamy,Non-Irrigated,17134791,22507154,11.67232,78.18202
71,17,Ayappan Pattinam 2,Salem,Salem,Tamil Nadu,17.38,Coastal,Red Soil,Partly Irrigated,14423102,19464853,11.64755,78.14314
72,18,Thogamalai 2,Salem,Salem,Tamil Nadu,14.24,Industrial,Sandy,Partly Irrigated,41214760,51287325,11.6115,78.12195
73,18,Oragadam 4,Salem,Salem,Tamil Nadu,3.97,Commercial,Loamy,Partly Irrigated,47684094,60053002,11.71792,78.19834
74,18,Madhavaram 5,Salem,Salem,Tamil Nadu,10.68,Commercial,Red Soil,Irrigated,79692727,85214636,11.6443,78.20189
75,18,Thogamalai 1,Salem,Salem,Tamil Nadu,15.5,Residential,Saline,Partly Irrigated,44285436,51197501,11.70036,78.13322
76,18,Karanai 3,Salem,Salem,Tamil Nadu,11.95,Residential,Loamy,Non-Irrigated,48942908,64280857,11.71707,78.18162
77,18,Manapakkam 17,Salem,Salem,Tamil Nadu,14.93,Forest,Saline,Non-Irrigated,48231283,62033609,11.6683,78.09589
78,19,Neelambur 6,Salem,Salem,Tamil Nadu,6.93,Residential,Alluvial,Non-Irrigated,21327439,26775670,11.64875,78.0959
79,19,Madhavaram 12,Salem,Salem,Tamil Nadu,9.32,Forest,Loamy,Partly Irrigated,8884963,9864493,11.62628,78.1089
80,19,Thogamalai 19,Salem,Salem,Tamil Nadu,17.86,Forest,Saline,Irrigated,12153136,14406231,11.61955,78.09182
81,19,Neelambur 11,Salem,Salem,Tamil Nadu,18.19,Barren,Urban Fill,Non-Irrigated,17645562,23360463,11.68972,78.12315
82,19,Manapakkam 11,Salem,Salem,Tamil Nadu,5.51,Residential,Saline,Irrigated,15464822,16420512,11.64969,78.17648
83,20,Siruseri 5,Salem,Salem,Tamil Nadu,8.0,Commercial,Urban Fill,Partly Irrigated,74047584,89339787,11.65345,78.11824
84,20,Nandambakkam 5,Salem,Salem,Tamil Nadu,5.12,Coastal,Urban Fill,Irrigated,56698053,72516563,11.63084,78.16603
85,20,Perungalathur 11,Salem,Salem,Tamil Nadu,14.78,Coastal,Saline,Partly Irrigated,55403434,62357983,11.64753,78.09854
86,20,Padur 14,Salem,Salem,Tamil Nadu,16.05,Commercial,Black Cotton,Partly Irrigated,48884748,64353480,11.63481,78.15326
87,20,Siruseri 1,Salem,Salem,Tamil Nadu,6.87,Coastal,Black Cotton,Irrigated,74837018,97418523,11.61872,78.18534
88,21,Oragadam 5,Tirunelveli,Tirunelveli,Tamil Nadu,5.55,Industrial,Urban Fill,Partly Irrigated,23649591,27924490,8.75493,77.77167
89,21,Pammalur 17,Tirunelveli,Tirunelveli,Tamil Nadu,16.87,Coastal,Red Soil,Non-Irrigated,7884425,9612162,8.74631,77.82127
90,21,Neelambur 13,Tirunelveli,Tirunelveli,Tamil Nadu,14.93,Coastal,Saline,Non-Irrigated,12279541,15216133,8.7663,77.79023
91,21,Pammalur 17,Tirunelveli,Tirunelveli,Tamil Nadu,14.6,Residential,Sandy,Partly Irrigated,17611577,23691144,8.74852,77.81446
92,21,Madhavaram 7,Tirunelveli,Tirunelveli,Tamil Nadu,19.14,Residential,Alluvial,Irrigated,8303125,11198288,8.75709,77.7772
93,22,Kelambakkam 9,Tirunelveli,Tirunelveli,Tamil Nadu,22.14,Coastal,Loamy,Non-Irrigated,8781580,9285977,8.70429,77.77043
94,22,Samayapuram 4,Tirunelveli,Tirunelveli,Tamil Nadu,11.9,Barren,Loamy,Non-Irrigated,18073528,23051103,8.67298,77.70829
95,22,Oragadam 16,Tirunelveli,Tirunelveli,Tamil Nadu,4.21,Agricultural,Red Soil,Irrigated,9137548,12271156,8.65426,77.71094
96,22,Karanai 4,Tirunelveli,Tirunelveli,Tamil Nadu,5.92,Agricultural,Black Cotton,Partly Irrigated,11003658,13779546,8.7089,77.71752
97,23,Ayappan Pattinam 14,Tirunelveli,Tirunelveli,Tamil Nadu,16.06,Agricultural,Urban Fill,Irrigated,17631469,19025039,8.67978,77.70826
98,23,Nandambakkam 17,Tirunelveli,Tirunelveli,Tamil Nadu,3.26,Industrial,Red Soil,Non-Irrigated,6533945,7506533,8.66555,77.75713
99,23,Padur 15,Tirunelveli,Tirunelveli,Tamil Nadu,6.21,Commercial,Urban Fill,Partly Irrigated,15473099,18064188,8.70795,77.78751
100,23,Ayappan Pattinam 17,Tirunelveli,Tirunelveli,Tamil Nadu,18.32,Industrial,Black Cotton,Irrigated,7035466,7462804,8.69909,77.77518
101,23,Ayappan Pattinam 9,Tirunelveli,Tirunelveli,Tamil Nadu,15.66,Coastal,Alluvial,Partly Irrigated,8965404,11825003,8.64739,77.75011
102,23,Oragadam 5,Tirunelveli,Tirunelveli,Tamil Nadu,12.71,Coastal,Sandy,Non-Irrigated,6589439,7161248,8.75954,77.77008
103,24,Kelambakkam 17,Karur,Karur,Tamil Nadu,8.29,Coastal,Saline,Partly Irrigated,47750184,50525873,10.99848,78.09194
104,24,Manapakkam 11,Karur,Karur,Tamil Nadu,23.7,Commercial,Loamy,Irrigated,43858887,53340346,10.92323,78.03413
105,24,Sriperumbudur 9,Karur,Karur,Tamil Nadu,15.2,Agricultural,Red Soil,Irrigated,54310119,72802715,11.00808,78.0534
106,24,Karanai 12,Karur,Karur,Tamil Nadu,17.12,Commercial,Sandy,Irrigated,47416193,60419894,10.95665,78.11459
107,24,Madhavaram 1,Karur,Karur,Tamil Nadu,10.56,Industrial,Loamy,Partly Irrigated,46245699,61296594,10.98229,78.07395
108,24,Pammalur 3,Karur,Karur,Tamil Nadu,3.61,Agricultural,Loamy,Non-Irrigated,79552798,100308740,10.9978,78.05776
109,25,Pammalur 3,Karur,Karur,Tamil Nadu,14.64,Barren,Saline,Irrigated,53128470,60952635,10.99871,78.05046
110,25,Oragadam 10,Karur,Karur,Tamil Nadu,10.85,Coastal,Loamy,Partly Irrigated,34972915,40531013,10.97819,78.13171
111,26,Samayapuram 7,Karur,Karur,Tamil Nadu,11.47,Agricultural,Red Soil,Non-Irrigated,6106033,7621486,10.93472,78.10634
112,26,Oragadam 17,Karur,Karur,Tamil Nadu,24.21,Coastal,Loamy,Irrigated,9706606,12271021,10.979,78.08261
113,26,Madhavaram 7,Karur,Karur,Tamil Nadu,15.02,Barren,Loamy,Irrigated,11687018,13094979,10.96081,78.05529
114,26,Nandambakkam 19,Karur,Karur,Tamil Nadu,12.77,Industrial,Saline,Non-Irrigated,16260566,20696208,10.91083,78.07709
115,26,Samayapuram 4,Karur,Karur,Tamil Nadu,3.48,Forest,Urban Fill,Non-Irrigated,8548568,9300136,11.00317,78.11192
116,27,Pudur 7,Karur,Karur,Tamil Nadu,13.9,Residential,Sandy,Non-Irrigated,13126012,14714136,10.94571,78.09989
117,27,Sholinganallur 11,Karur,Karur,Tamil Nadu,10.94,Coastal,Red Soil,Non-Irrigated,13592660,16807276,10.93616,78.06799
118,27,Nandambakkam 11,Karur,Karur,Tamil Nadu,24.96,Agricultural,Alluvial,Irrigated,20914503,26580738,10.94534,78.10844
119,27,Nandambakkam 14,Karur,Karur,Tamil Nadu,21.85,Barren,Red Soil,Partly Irrigated,9862015,10387040,10.91999,78.13158
120,28,Oragadam 3,Karur,Karur,Tamil Nadu,5.72,Coastal,Saline,Irrigated,16261467,20472446,10.96593,78.09873
121,28,Kallikudi 17,Karur,Karur,Tamil Nadu,6.97,Agricultural,Red Soil,Partly Irrigated,20297149,22383212,10.9432,78.06511
122,28,Oragadam 3,Karur,Karur,Tamil Nadu,5.28,Forest,Loamy,Partly Irrigated,15079135,16053987,10.95823,78.09473
123,29,Sriperumbudur 2,Karur,Karur,Tamil Nadu,16.22,Industrial,Loamy,Irrigated,14506279,15590441,10.99404,78.07909
124,29,Kelambakkam 1,Karur,Karur,Tamil Nadu,6.56,Industrial,Urban Fill,Partly Irrigated,8923007,11128253,10.94885,78.06766
125,29,Oragadam 18,Karur,Karur,Tamil Nadu,5.62,Barren,Red Soil,Non-Irrigated,20259873,27322501,10.96719,78.05034
126,30,Madhavaram 12,Karur,Karur,Tamil Nadu,14.12,Forest,Loamy,Non-Irrigated,19781060,25360502,10.98682,78.0528
127,30,Kelambakkam 17,Karur,Karur,Tamil Nadu,3.8,Commercial,Sandy,Non-Irrigated,11633987,13205880,11.00195,78.08978
128,30,Sriperumbudur 12,Karur,Karur,Tamil Nadu,23.57,Forest,Saline,Partly Irrigated,14118431,15982111,10.94336,78.10676
129,30,Neelambur 16,Karur,Karur,Tamil Nadu,3.64,Barren,Sandy,Irrigated,21092945,23765297,10.93632,78.03182
130,30,Karanai 9,Karur,Karur,Tamil Nadu,15.2,Forest,Loamy,Irrigated,9922882,12135403,10.91952,78.09546
131,30,Pammalur 7,Karur,Karur,Tamil Nadu,17.24,Forest,Urban Fill,Irrigated,11772677,13622462,10.9878,78.08795
132,31,Oragadam 9,Karur,Karur,Tamil Nadu,4.19,Barren,Urban Fill,Non-Irrigated,43914574,50594643,11.00215,78.10297
133,31,Padur 19,Karur,Karur,Tamil Nadu,20.97,Industrial,Red Soil,Partly Irrigated,70796103,78372542,10.9258,78.12421
134,31,Kallikudi 17,Karur,Karur,Tamil Nadu,17.73,Agricultural,Black Cotton,Non-Irrigated,79010553,91916187,10.94894,78.06236
135,31,Samayapuram 10,Karur,Karur,Tamil Nadu,17.52,Commercial,Alluvial,Partly Irrigated,68061401,72662031,10.96813,78.02489
136,31,Perungalathur 16,Karur,Karur,Tamil Nadu,5.7,Commercial,Loamy,Non-Irrigated,31953622,33687235,10.96479,78.04318
137,31,Ayappan Pattinam 19,Karur,Karur,Tamil Nadu,12.19,Commercial,Alluvial,Partly Irrigated,40488581,44672117,10.95399,78.11723
138,32,Pudur 20,Karur,Karur,Tamil Nadu,17.78,Residential,Red Soil,Non-Irrigated,7722611,9346092,10.98485,78.03306
139,32,Pammalur 3,Karur,Karur,Tamil Nadu,14.73,Commercial,Alluvial,Non-Irrigated,11159789,13065844,10.99679,78.05962
140,32,Sriperumbudur 14,Karur,Karur,Tamil Nadu,16.16,Coastal,Loamy,Partly Irrigated,7107019,8866673,10.94197,78.13428
141,32,Kallikudi 8,Karur,Karur,Tamil Nadu,12.33,Forest,Saline,Irrigated,11176280,13202273,10.98489,78.02524
142,33,Pudur 19,Karur,Karur,Tamil Nadu,18.55,Commercial,Loamy,Non-Irrigated,12807445,13871233,10.97812,78.06101
143,33,Sriperumbudur 7,Karur,Karur,Tamil Nadu,20.94,Industrial,Alluvial,Irrigated,20774402,24741855,10.92755,78.08786
144,33,Samayapuram 20,Karur,Karur,Tamil Nadu,23.72,Coastal,Red Soil,Irrigated,13260382,14855831,10.99007,78.11929
145,33,Pammalur 4,Karur,Karur,Tamil Nadu,21.18,Agricultural,Loamy,Non-Irrigated,19527521,26170054,11.01756,78.1091
146,34,Sriperumbudur 3,Tirunelveli,Tirunelveli,Tamil Nadu,4.01,Coastal,Urban Fill,Partly Irrigated,19028202,21900114,8.73277,77.79478
147,34,Samayapuram 14,Tirunelveli,Tirunelveli,Tamil Nadu,6.1,Agricultural,Alluvial,Non-Irrigated,9515414,10241548,8.76248,77.71987
148,34,Nandambakkam 6,Tirunelveli,Tirunelveli,Tamil Nadu,13.34,Commercial,Red Soil,Partly Irrigated,8173098,9830603,8.70239,77.7049
149,35,Sholinganallur 4,Tirunelveli,Tirunelveli,Tamil Nadu,15.09,Agricultural,Urban Fill,Partly Irrigated,44368300,47645904,8.69779,77.78906
150,35,Oragadam 7,Tirunelveli,Tirunelveli,Tamil Nadu,19.5,Forest,Alluvial,Partly Irrigated,39401757,50405048,8.74526,77.69972
151,35,Sholinganallur 7,Tirunelveli,Tirunelveli,Tamil Nadu,20.5,Residential,Black Cotton,Irrigated,51016689,61709720,8.74715,77.75508
152,35,Manapakkam 7,Tirunelveli,Tirunelveli,Tamil Nadu,9.98,Residential,Black Cotton,Irrigated,53553822,63635614,8.75804,77.72729
153,35,Padur 6,Tirunelveli,Tirunelveli,Tamil Nadu,12.86,Coastal,Saline,Non-Irrigated,44094936,57886259,8.67368,77.73954
154,36,Padur 3,Tirunelveli,Tirunelveli,Tamil Nadu,5.82,Barren,Black Cotton,Non-Irrigated,14708011,18638094,8.72634,77.79147
155,36,Neelambur 8,Tirunelveli,Tirunelveli,Tamil Nadu,12.66,Forest,Saline,Partly Irrigated,13686598,18229099,8.71735,77.72693
156,37,Manapakkam 18,Tirunelveli,Tirunelveli,Tamil Nadu,22.88,Agricultural,Red Soil,Non-Irrigated,8228509,9548065,8.65664,77.69617
157,37,Kallikudi 13,Tirunelveli,Tirunelveli,Tamil Nadu,8.33,Forest,Black Cotton,Non-Irrigated,9883081,11148216,8.67953,77.71001
158,37,Pudur 10,Tirunelveli,Tirunelveli,Tamil Nadu,6.3,Industrial,Loamy,Partly Irrigated,14370906,18090333,8.76054,77.78391
159,37,Pudur 3,Tirunelveli,Tirunelveli,Tamil Nadu,17.94,Commercial,Saline,Non-Irrigated,23465731,29476335,8.73861,77.7204
160,38,Neelambur 16,Tirunelveli,Tirunelveli,Tamil Nadu,23.32,Coastal,Red Soil,Non-Irrigated,11190071,14361655,8.74859,77.77883
161,38,Nandambakkam 20,Tirunelveli,Tirunelveli,Tamil Nadu,3.91,Industrial,Sandy,Non-Irrigated,20192816,26940482,8.77161,77.69768
162,38,Siruseri 19,Tirunelveli,Tirunelveli,Tamil Nadu,14.25,Barren,Saline,Irrigated,16258061,17598339,8.73589,77.72606
163,38,Karanai 9,Tirunelveli,Tirunelveli,Tamil Nadu,3.12,Coastal,Red Soil,Irrigated,16964643,18575751,8.73292,77.77184
164,38,Pammalur 16,Tirunelveli,Tirunelveli,Tamil Nadu,9.29,Residential,Alluvial,Non-Irrigated,13091996,16588762,8.73361,77.73375
165,38,Ayappan Pattinam 1,Tirunelveli,Tirunelveli,Tamil Nadu,11.04,Coastal,Black Cotton,Non-Irrigated,19568253,25418207,8.7219,77.72639
166,39,Perungalathur 19,Tirunelveli,Tirunelveli,Tamil Nadu,10.29,Commercial,Alluvial,Irrigated,5337011,7196507,8.76533,77.7127
167,39,Madhavaram 15,Tirunelveli,Tirunelveli,Tamil Nadu,22.04,Agricultural,Alluvial,Irrigated,15732408,19710491,8.69447,77.71847
168,40,Madhavaram 15,Cuddalore,Cuddalore,Tamil Nadu,22.05,Barren,Saline,Non-Irrigated,14902170,19521194,11.78208,79.69489
169,40,Pammalur 20,Cuddalore,Cuddalore,Tamil Nadu,19.94,Residential,Black Cotton,Irrigated,16467495,18445407,11.78452,79.6161
170,41,Neelambur 5,Cuddalore,Cuddalore,Tamil Nadu,3.26,Barren,Loamy,Non-Irrigated,65101888,80728220,11.75251,79.65421
171,41,Neelambur 6,Cuddalore,Cuddalore,Tamil Nadu,6.3,Commercial,Saline,Irrigated,43741885,59010218,11.73274,79.61479
172,42,Padur 18,Cuddalore,Cuddalore,Tamil Nadu,22.28,Agricultural,Loamy,Non-Irrigated,10036093,12607491,11.73779,79.64662
173,42,Madhavaram 18,Cuddalore,Cuddalore,Tamil Nadu,24.01,Residential,Alluvial,Non-Irrigated,7613208,8425212,11.7161,79.61321
174,42,Pudur 2,Cuddalore,Cuddalore,Tamil Nadu,18.15,Coastal,Sandy,Irrigated,17798472,20289191,11.69832,79.59848
175,43,Madhavaram 2,Cuddalore,Cuddalore,Tamil Nadu,16.82,Industrial,Loamy,Irrigated,44929100,58084602,11.71833,79.65468
176,43,Sriperumbudur 14,Cuddalore,Cuddalore,Tamil Nadu,8.6,Industrial,Urban Fill,Non-Irrigated,32840469,42758648,11.78867,79.69903
177,44,Neelambur 6,Cuddalore,Cuddalore,Tamil Nadu,9.32,Barren,Saline,Partly Irrigated,20484152,25054871,11.72572,79.62259
178,44,Madhavaram 6,Cuddalore,Cuddalore,Tamil Nadu,7.28,Coastal,Red Soil,Partly Irrigated,22725705,25343382,11.69417,79.65909
179,44,Manapakkam 11,Cuddalore,Cuddalore,Tamil Nadu,23.38,Industrial,Sandy,Irrigated,8570229,9598967,11.80171,79.67528
180,45,Thogamalai 13,Cuddalore,Cuddalore,Tamil Nadu,21.66,Agricultural,Saline,Irrigated,17264760,19886213,11.79614,79.67903
181,45,Pudur 11,Cuddalore,Cuddalore,Tamil Nadu,16.44,Forest,Saline,Non-Irrigated,22936461,29677953,11.6935,79.6049
182,45,Thogamalai 10,Cuddalore,Cuddalore,Tamil Nadu,23.51,Industrial,Red Soil,Partly Irrigated,8622443,10741624,11.78336,79.67561
183,45,Oragadam 20,Cuddalore,Cuddalore,Tamil Nadu,21.88,Commercial,Sandy,Partly Irrigated,17925723,20121020,11.71485,79.69659
184,46,Oragadam 12,Cuddalore,Cuddalore,Tamil Nadu,9.08,Barren,Saline,Irrigated,19148488,25847532,11.76306,79.65494
185,46,Pudur 10,Cuddalore,Cuddalore,Tamil Nadu,17.83,Industrial,Sandy,Partly Irrigated,6242493,7045964,11.78975,79.61117
186,47,Pudur 20,Cuddalore,Cuddalore,Tamil Nadu,15.04,Coastal,Red Soil,Partly Irrigated,12654159,14684197,11.72186,79.65165
