Area_Sqft,Soil_pH,No_of_Owners,District,Land_Type,Flood_Risk,Water_Availability,Soil_Type,Document_Issue,Owner_Objection,Court_Case,Compensation_Status,FMB,A_Register,Document_Verified,Objection,Ownership_Type,Acquisition_Days,Delay_Status,Land_ID,Taluk,Village,Survey_No,Delay_Risk_Band,latitude,longitude
1268842.25,7.3,17,Salem,Industrial,Yes,Yes,Urban Fill,Not Available,Yes,Yes,Verification completed,Yes,Yes,No,Yes,Joint,146.0,Delayed,ACQ_SYN_012627,Salem,Kallikudi 19,429/1703,High,11.700420392411338,78.19900967117871
2154478.69,6.2,13,Erode,Residential,No,Yes,Loamy,Not Available,Yes,Yes,Verification pending,Yes,Yes,No,Yes,Joint,149.0,Delayed,ACQ_SYN_009981,Erode,Perungalathur 17,222/872,High,11.294805506514058,77.74098376557905
764046.4,8.5,20,Krishnagiri,Commercial,No,Yes,Saline,Available,Yes,No,To be paid,Yes,Yes,Yes,Yes,Joint,0.0,No Delay,ACQ_SYN_014216,Krishnagiri,Manapakkam 15,278/1091,Low,12.5220680129142,78.28673209852292
351547.2,8.7,20,Thoothukudi,Coastal,Yes,No,Saline,Not Available,Yes,Yes,Verification pending,No,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_003150,Thoothukudi,Pammalur 10,54/209,Low,8.793247581930084,78.05057162870514
996082.85,7.5,20,Coimbatore,Forest,No,No,Alluvial,Not Available,Yes,Yes,To be paid,Yes,Yes,No,Yes,Joint,494.0,Delayed,ACQ_SYN_002148,Coimbatore,Siruseri 5,454/1797,High,11.01941349129848,77.031768040467
1255944.98,7.1,10,Krishnagiri,Industrial,No,No,Urban Fill,Available,Yes,Yes,Withheld pending court,Yes,Yes,Yes,Yes,Joint,183.0,Delayed,ACQ_SYN_005767,Krishnagiri,Sriperumbudur 5,152/593,High,12.521839953058151,78.14915617881881
1938787.03,6.4,7,Tiruchirappalli,Industrial,No,Yes,Loamy,Not Available,Yes,No,Verification pending,Yes,Yes,No,Yes,Joint,172.0,Delayed,ACQ_SYN_010144,Tiruchirappalli,Perungalathur 16,169/660,High,10.7401592823318,78.75854922473376
1117748.48,7.0,14,Vellore,Barren,No,No,Urban Fill,Not Available,Yes,Yes,To be paid,Yes,Yes,Yes,Yes,Joint,60.0,No Delay,ACQ_SYN_016060,Vellore,Karanai 5,289/1136,Low,12.930796961248657,79.14624603408579
1439245.1,8.5,17,Cuddalore,Residential,No,Yes,Saline,Not Available,Yes,Yes,To be paid,No,Yes,No,Yes,Joint,58.0,No Delay,ACQ_SYN_011404,Cuddalore,Sriperumbudur 20,47/187,Low,11.772573840731276,79.6028519380381
1150946.02,7.4,16,Tiruchirappalli,Residential,No,Yes,Urban Fill,Not Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,Joint,44.0,No Delay,ACQ_SYN_009546,Tiruchirappalli,Thogamalai 14,3/9,Low,10.79690824211278,78.65514582193029
2630408.26,8.9,14,Tiruchirappalli,Commercial,Yes,Yes,Saline,Available,Yes,No,To be paid,Yes,Yes,Yes,Yes,Joint,0.0,No Delay,ACQ_SYN_016024,Tiruchirappalli,Siruseri 11,354/1382,Low,10.74950520732451,78.64108172288257
939796.9,6.2,15,Chengalpattu,Agricultural,Yes,Yes,Sandy,Not Available,Yes,No,Verification completed,Yes,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_006671,Chengalpattu,Padur 1,94/360,Low,12.631420395655269,80.02481938840648
1207367.91,6.7,8,Coimbatore,Barren,Yes,Yes,Alluvial,Not Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,Joint,31.0,No Delay,ACQ_SYN_013612,Coimbatore,Pudur 9,377/1484,Low,11.040727568201884,77.01236593510038
2572479.31,8.4,14,Chennai,Agricultural,Yes,Yes,Saline,Available,Yes,Yes,To be paid,Yes,Yes,Yes,Yes,Joint,0.0,No Delay,ACQ_SYN_015954,Chennai,Kelambakkam 19,406/1610,Low,13.057052463366006,80.26015957557759
1727638.63,7.3,6,Krishnagiri,Commercial,Yes,Yes,Urban Fill,Not Available,No,No,Verification completed,Yes,Yes,Yes,No,Joint,59.0,No Delay,ACQ_SYN_000126,Krishnagiri,Neelambur 19,277/1085,Low,12.571060232373275,78.20491052426412
1795729.9,6.9,8,Coimbatore,Residential,No,No,Urban Fill,Not Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,Joint,31.0,No Delay,ACQ_SYN_015334,Coimbatore,Kallikudi 13,377/1481,Low,11.041453521967512,76.94282401284174
1716726.69,6.3,20,Thanjavur,Residential,Yes,Yes,Sandy,Available,Yes,Yes,Verification pending,Yes,Yes,Yes,Yes,Joint,0.0,No Delay,ACQ_SYN_017788,Thanjavur,Madhavaram 3,121/470,Low,10.834997071809624,79.12749377108938
1622548.61,7.2,17,Thoothukudi,Agricultural,No,No,Alluvial,Not Available,Yes,Yes,Verification pending,Yes,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_017046,Thoothukudi,Siruseri 1,468/1857,Low,8.702969367608558,78.06020565201429
2537781.12,6.7,19,Erode,Coastal,Yes,Yes,Loamy,Available,Yes,Yes,Objection enquiry,Yes,Yes,Yes,Yes,Joint,301.0,Delayed,ACQ_SYN_006587,Erode,Manapakkam 8,267/1047,High,11.3845465011148,77.62864094499304
2409259.11,6.2,16,Cuddalore,Industrial,Yes,Yes,Sandy,Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,Joint,275.0,Delayed,ACQ_SYN_004300,Cuddalore,Manapakkam 11,44/179,High,11.796943832729829,79.67740883564099
867721.13,6.3,12,Coimbatore,Agricultural,Yes,Yes,Loamy,Not Available,Yes,No,Withheld pending court,Yes,Yes,No,Yes,Joint,60.0,No Delay,ACQ_SYN_016104,Coimbatore,Samayapuram 16,368/1442,Low,11.020424608348154,76.92156087439547
1428790.57,6.7,15,Chengalpattu,Barren,No,No,Red Soil,Not Available,Yes,No,Verification completed,Yes,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_006449,Chengalpattu,Oragadam 16,94/361,Low,12.633714565603409,79.93379552680263
1598069.92,8.6,11,Chennai,Barren,No,Yes,Saline,Not Available,Yes,No,Withheld pending court,No,Yes,No,Yes,Joint,62.0,Delayed,ACQ_SYN_009337,Chennai,Karanai 8,193/752,Medium,13.09218470218934,80.23383419103365
1915665.33,7.1,19,Salem,Coastal,Yes,Yes,Alluvial,Not Available,Yes,No,Withheld pending court,Yes,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_017816,Salem,Thogamalai 8,396/1562,Low,11.69211542217769,78.1572675761849
1158815.27,6.7,10,Chengalpattu,Industrial,No,No,Red Soil,Available,No,No,Verification pending,Yes,Yes,Yes,No,Joint,0.0,No Delay,ACQ_SYN_001707,Chengalpattu,Kallikudi 18,477/1888,Low,12.734029810410926,79.93966006407285
1591620.43,6.1,20,Thoothukudi,Forest,No,Yes,Loamy,Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,Joint,342.0,Delayed,ACQ_SYN_013137,Thoothukudi,Kelambakkam 3,303/1194,High,8.823725080569737,78.06139568606409
2450856.59,7.0,9,Erode,Industrial,No,Yes,Urban Fill,Available,Yes,Yes,Withheld pending court,Yes,Yes,Yes,Yes,Joint,315.0,Delayed,ACQ_SYN_007506,Erode,Kallikudi 14,221/865,High,11.37857946347201,77.73183321660196
2070226.11,6.3,16,Salem,Commercial,No,Yes,Loamy,Not Available,Yes,Yes,Objection enquiry,Yes,Yes,Yes,Yes,Joint,67.0,Delayed,ACQ_SYN_008110,Salem,Kelambakkam 5,402/1590,Medium,11.6410425595379,78.19385747194583
843738.54,6.9,10,Cuddalore,Industrial,Yes,Yes,Red Soil,Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,Joint,0.0,No Delay,ACQ_SYN_017426,Cuddalore,Sriperumbudur 3,383/1511,Low,11.743213489905832,79.68523954312462
730974.05,7.0,8,Karur,Barren,Yes,Yes,Urban Fill,Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,Joint,105.0,Delayed,ACQ_SYN_008807,Karur,Oragadam 17,291/1146,Medium,10.99416371640552,78.10610336643504
2309878.06,6.2,11,Ranipet,Barren,Yes,Yes,Sandy,Not Available,Yes,Yes,Verification pending,Yes,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_007967,Ranipet,Manapakkam 8,106/403,Low,12.909642218902242,79.27648468979677
1759162.27,7.0,8,Chennai,Residential,No,No,Urban Fill,Available,Yes,Yes,Verification pending,Yes,Yes,Yes,Yes,Joint,0.0,No Delay,ACQ_SYN_011773,Chennai,Neelambur 20,192/746,Low,13.05354486480407,80.22037648514845
663137.88,6.6,15,Tiruchirappalli,Agricultural,No,Yes,Loamy,Available,Yes,Yes,To be paid,Yes,Yes,Yes,Yes,Joint,386.0,Delayed,ACQ_SYN_014577,Tiruchirappalli,Pudur 3,163/635,High,10.838607742788128,78.68131116408551
417481.97,7.3,16,Tiruchirappalli,Barren,No,No,Alluvial,Not Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,Joint,44.0,No Delay,ACQ_SYN_000845,Tiruchirappalli,Sholinganallur 12,3/11,Low,10.799801274990902,78.71549839126804
1165125.74,6.4,19,Coimbatore,Coastal,Yes,Yes,Loamy,Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,Joint,117.0,Delayed,ACQ_SYN_009459,Coimbatore,Madhavaram 20,378/1486,Medium,10.982943510143,76.96793455958824
2185089.47,8.9,5,Thanjavur,Coastal,Yes,No,Saline,Not Available,No,No,Verification pending,Yes,Yes,No,No,Joint,0.0,No Delay,ACQ_SYN_001918,Thanjavur,Pammalur 8,241/942,Low,10.769678040045273,79.2269909296308
2576203.35,8.4,13,Madurai,Barren,No,No,Saline,Not Available,Yes,No,Verification completed,Yes,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_000897,Madurai,Padur 9,250/978,Low,9.879182188788963,78.12137182241636
818981.66,7.3,18,Krishnagiri,Commercial,No,Yes,Urban Fill,Not Available,Yes,Yes,To be paid,No,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_013672,Krishnagiri,Sriperumbudur 15,80/312,Low,12.558425129640804,78.19041807175424
1777858.8,8.2,18,Erode,Agricultural,No,No,Saline,Not Available,Yes,No,Withheld pending court,Yes,Yes,No,Yes,Joint,108.0,Delayed,ACQ_SYN_009532,Erode,Samayapuram 7,135/523,Medium,11.337585106500114,77.73473047662044
1384701.87,7.3,19,Tirunelveli,Industrial,Yes,Yes,Alluvial,Not Available,Yes,Yes,Verification completed,Yes,Yes,No,Yes,Joint,167.0,Delayed,ACQ_SYN_011756,Tirunelveli,Neelambur 17,87/339,High,8.721210175004494,77.84431483887919
797637.85,7.4,15,Tiruchirappalli,Industrial,Yes,Yes,Urban Fill,Not Available,Yes,Yes,Verification pending,Yes,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_010902,Tiruchirappalli,Karanai 4,4/12,Low,10.788753206119807,78.6843519314525
1494668.78,7.2,7,Villupuram,Commercial,No,Yes,Alluvial,Available,Yes,Yes,Objection enquiry,Yes,Yes,Yes,Yes,Joint,501.0,Delayed,ACQ_SYN_009821,Villupuram,Kallikudi 8,389/1534,High,11.998975726028249,79.44218638511862
734348.0,6.1,5,Chengalpattu,Commercial,Yes,Yes,Sandy,Not Available,Yes,Yes,Objection enquiry,Yes,Yes,No,Yes,Joint,315.0,Delayed,ACQ_SYN_000316,Chengalpattu,Padur 14,323/1266,High,12.71753384091869,79.9675105366821
1963890.21,6.9,11,Chennai,Industrial,No,Yes,Urban Fill,Not Available,Yes,No,Withheld pending court,No,Yes,No,Yes,Joint,62.0,Delayed,ACQ_SYN_006998,Chennai,Manapakkam 11,193/753,Medium,13.112990750054266,80.24899095829572
1702119.49,6.5,17,Kancheepuram,Agricultural,Yes,Yes,Loamy,Not Available,Yes,No,Withheld pending court,Yes,Yes,No,Yes,Joint,136.0,Delayed,ACQ_SYN_018733,Kancheepuram,Madhavaram 3,195/760,High,12.822708891201104,79.71255511158792
2632756.89,8.6,12,Coimbatore,Forest,Yes,Yes,Saline,Not Available,Yes,No,To be paid,Yes,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_011503,Coimbatore,Kallikudi 5,370/1455,Low,11.013827222900956,76.88826691921885
2574213.38,7.9,7,Villupuram,Agricultural,No,Yes,Black Cotton,Not Available,Yes,No,To be paid,Yes,Yes,Yes,Yes,Joint,149.0,Delayed,ACQ_SYN_003713,Villupuram,Samayapuram 16,392/1549,High,11.983154149203576,79.44507533237127
1363705.8,8.4,19,Erode,Residential,No,No,Saline,Not Available,Yes,Yes,To be paid,Yes,Yes,Yes,Yes,Joint,83.0,Delayed,ACQ_SYN_012396,Erode,Siruseri 17,73/286,Medium,11.36531449102764,77.75662812976731
2107629.04,7.0,5,Madurai,Commercial,No,Yes,Red Soil,Available,No,No,Verification completed,Yes,Yes,Yes,No,Joint,27.0,No Delay,ACQ_SYN_010141,Madurai,Siruseri 6,186/724,Low,9.931106093760462,78.11749200969055
1342878.06,7.2,18,Thanjavur,Residential,Yes,Yes,Loamy,Available,Yes,No,Verification pending,Yes,Yes,Yes,Yes,Joint,42.0,No Delay,ACQ_SYN_012464,Thanjavur,Ayappan Pattinam 1,240/941,Low,10.830606615992451,79.18337860666888
2271191.77,6.3,13,Kancheepuram,Coastal,Yes,Yes,Sandy,Available,No,No,Verification completed,Yes,Yes,Yes,No,Joint,176.0,Delayed,ACQ_SYN_018521,Kancheepuram,Neelambur 12,199/776,High,12.856301289708934,79.73184908028496
2380888.44,7.3,9,Krishnagiri,Commercial,No,No,Alluvial,Not Available,Yes,Yes,Objection enquiry,No,Yes,No,Yes,Joint,182.0,Delayed,ACQ_SYN_003670,Krishnagiri,Oragadam 5,109/417,High,12.511102113208974,78.27211545446369
1806404.23,6.8,11,Karur,Industrial,No,No,Loamy,Not Available,Yes,Yes,Withheld pending court,Yes,Yes,Yes,Yes,Joint,489.0,Delayed,ACQ_SYN_005434,Karur,Madhavaram 11,247/966,High,10.94226875167527,78.03782284173428
459827.59,7.2,7,Tirunelveli,Agricultural,Yes,Yes,Red Soil,Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,Joint,56.0,No Delay,ACQ_SYN_011499,Tirunelveli,Oragadam 16,22/95,Low,8.655002866938359,77.70523852427553
1545227.62,7.3,14,Chennai,Industrial,No,Yes,Alluvial,Available,Yes,Yes,To be paid,Yes,Yes,Yes,Yes,Joint,0.0,No Delay,ACQ_SYN_012478,Chennai,Karanai 8,406/1609,Low,13.087778113960283,80.25716602490914
1966787.78,7.1,5,Tiruchirappalli,Barren,No,No,Alluvial,Not Available,Yes,Yes,Verification completed,Yes,Yes,No,Yes,Joint,100.0,Delayed,ACQ_SYN_016070,Tiruchirappalli,Ayappan Pattinam 2,1/3,Medium,10.80681696135708,78.6658756437745
2128271.92,6.8,10,Ranipet,Commercial,No,Yes,Red Soil,Available,Yes,No,Verification pending,Yes,Yes,Yes,Yes,Joint,0.0,No Delay,ACQ_SYN_008593,Ranipet,Sriperumbudur 18,105/398,Low,12.90033313156735,79.35436071940681
1970535.78,8.4,14,Kancheepuram,Forest,Yes,Yes,Saline,Not Available,Yes,Yes,Objection enquiry,Yes,Yes,No,Yes,Joint,59.0,No Delay,ACQ_SYN_018352,Kancheepuram,Kallikudi 19,483/1915,Low,12.821441824109153,79.72980812098734
2344556.63,6.9,11,Tiruchirappalli,Agricultural,No,No,Alluvial,Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,Joint,199.0,Delayed,ACQ_SYN_018155,Tiruchirappalli,Madhavaram 11,212/831,High,10.80904873097306,78.7204609980034
522100.97,7.0,11,Karur,Commercial,No,Yes,Red Soil,Not Available,Yes,Yes,Withheld pending court,Yes,Yes,No,Yes,Joint,237.0,Delayed,ACQ_SYN_005171,Karur,Kallikudi 9,293/1156,High,10.920881405848366,78.08990526361835
1927004.67,6.5,7,Erode,Barren,Yes,Yes,Loamy,Not Available,Yes,No,To be paid,Yes,Yes,No,Yes,Joint,268.0,Delayed,ACQ_SYN_014290,Erode,Kallikudi 7,412/1635,High,11.401107112423023,77.74189461172686
2725876.51,7.5,20,Dharmapuri,Commercial,No,Yes,Black Cotton,Not Available,Yes,Yes,Verification completed,No,Yes,No,Yes,Joint,172.0,Delayed,ACQ_SYN_003760,Dharmapuri,Thogamalai 19,274/1077,High,12.114118410677891,78.14910574229721
492062.56,8.5,19,Thanjavur,Industrial,Yes,Yes,Saline,Not Available,Yes,Yes,Withheld pending court,Yes,Yes,No,Yes,Joint,160.0,Delayed,ACQ_SYN_016817,Thanjavur,Ayappan Pattinam 4,418/1659,High,10.75419714840171,79.14869410198808
920577.37,8.2,5,Tiruchirappalli,Industrial,No,No,Black Cotton,Not Available,Yes,No,Objection enquiry,Yes,Yes,No,Yes,Joint,495.0,Delayed,ACQ_SYN_016154,Tiruchirappalli,Kelambakkam 20,5/17,High,10.728453562460894,78.72494559228697
768089.68,6.2,13,Ranipet,Coastal,Yes,No,Sandy,Not Available,Yes,Yes,Objection enquiry,Yes,Yes,No,Yes,Joint,280.0,Delayed,ACQ_SYN_001213,Ranipet,Kelambakkam 15,225/885,High,12.883112776155492,79.3081909960282
1099774.96,7.5,10,Thanjavur,Coastal,Yes,No,Alluvial,Not Available,No,No,Verification completed,No,Yes,No,No,Joint,139.0,Delayed,ACQ_SYN_006911,Thanjavur,Samayapuram 4,310/1218,High,10.762939300659191,79.10245248198426
472728.69,7.1,15,Tiruchirappalli,Industrial,No,No,Urban Fill,Not Available,Yes,Yes,Verification pending,Yes,Yes,No,Yes,Joint,228.0,Delayed,ACQ_SYN_002859,Tiruchirappalli,Samayapuram 12,356/1391,High,10.811978144712484,78.74551232688827
911004.47,8.2,18,Karur,Barren,No,No,Saline,Not Available,Yes,Yes,Withheld pending court,Yes,Yes,No,Yes,Joint,257.0,Delayed,ACQ_SYN_013732,Karur,Pammalur 9,175/681,High,10.940237133458728,78.11643916547251
2063610.07,6.9,11,Ranipet,Residential,No,Yes,Alluvial,Not Available,Yes,Yes,Verification completed,Yes,Yes,No,Yes,Joint,237.0,Delayed,ACQ_SYN_006388,Ranipet,Nandambakkam 13,344/1344,High,12.885266369499874,79.36157235644893
2345599.59,6.4,13,Madurai,Coastal,Yes,Yes,Loamy,Available,Yes,No,To be paid,Yes,Yes,Yes,Yes,Joint,0.0,No Delay,ACQ_SYN_005065,Madurai,Oragadam 16,252/987,Low,9.942311378174416,78.12465506339748
2513656.36,7.6,6,Erode,Residential,No,Yes,Black Cotton,Not Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,Joint,101.0,Delayed,ACQ_SYN_002045,Erode,Kelambakkam 1,138/534,Medium,11.322067373602032,77.66019847991767
1893316.48,7.3,20,Tiruchirappalli,Commercial,Yes,Yes,Black Cotton,Not Available,Yes,Yes,Objection enquiry,Yes,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_015947,Tiruchirappalli,Madhavaram 20,351/1371,Low,10.800604091431715,78.6632029657067
1511717.25,7.5,10,Namakkal,Coastal,Yes,Yes,Alluvial,Available,Yes,No,To be paid,Yes,Yes,Yes,Yes,Joint,0.0,No Delay,ACQ_SYN_006731,Namakkal,Kelambakkam 15,339/1323,Low,11.18826041030018,78.13264400953933
1572363.54,6.5,19,Tirunelveli,Agricultural,No,Yes,Loamy,Not Available,Yes,No,Objection enquiry,Yes,Yes,No,Yes,Joint,322.0,Delayed,ACQ_SYN_010567,Tirunelveli,Nandambakkam 11,89/346,High,8.660764630615128,77.75894996092514
1055124.0,6.8,18,Vellore,Residential,No,No,Red Soil,Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,Joint,80.0,Delayed,ACQ_SYN_003845,Vellore,Kallikudi 16,448/1768,Medium,12.88041112392246,79.18358152152429
1327550.03,7.0,18,Tiruchirappalli,Industrial,No,No,Urban Fill,Not Available,Yes,Yes,Verification completed,No,Yes,No,Yes,Joint,80.0,Delayed,ACQ_SYN_007251,Tiruchirappalli,Oragadam 16,167/655,Medium,10.82900854078945,78.70558146271166
1399929.5,7.2,12,Kancheepuram,Residential,No,Yes,Alluvial,Not Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,Joint,1.0,No Delay,ACQ_SYN_009345,Kancheepuram,Manapakkam 3,480/1905,Low,12.814004775170131,79.71505074523789
1343404.82,6.7,6,Coimbatore,Commercial,No,No,Red Soil,Not Available,Yes,Yes,To be paid,Yes,Yes,Yes,Yes,Joint,66.0,Delayed,ACQ_SYN_012982,Coimbatore,Siruseri 3,128/501,Medium,11.06182763043212,76.89644338079864
2423706.88,8.0,8,Karur,Forest,No,Yes,Black Cotton,Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,Joint,105.0,Delayed,ACQ_SYN_017008,Karur,Siruseri 10,291/1149,Medium,10.926631328316732,78.04604689181403
1704216.86,7.4,19,Coimbatore,Forest,No,No,Urban Fill,Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,Joint,117.0,Delayed,ACQ_SYN_006012,Coimbatore,Kelambakkam 15,378/1487,Medium,11.061462269885416,76.89638571188821
1204598.65,7.0,9,Villupuram,Commercial,No,No,Alluvial,Not Available,Yes,Yes,To be paid,Yes,Yes,No,Yes,Joint,238.0,Delayed,ACQ_SYN_000966,Villupuram,Kelambakkam 17,286/1129,High,11.887306165095556,79.57463181464958
606878.86,6.8,11,Tiruvallur,Forest,Yes,Yes,Loamy,Not Available,Yes,No,Objection enquiry,Yes,Yes,No,Yes,Joint,195.0,Delayed,ACQ_SYN_011543,Tiruvallur,Karanai 17,77/303,High,13.148680119775918,79.86557908520638
1016490.54,6.1,19,Chennai,Agricultural,No,Yes,Loamy,Not Available,Yes,Yes,Verification pending,No,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_008902,Chennai,Perungalathur 5,407/1617,Low,13.065165823341056,80.2953958220176
2131385.79,6.9,6,Coimbatore,Industrial,No,Yes,Red Soil,Available,Yes,Yes,Verification pending,Yes,Yes,Yes,Yes,Joint,0.0,No Delay,ACQ_SYN_015756,Coimbatore,Pammalur 6,379/1492,Low,11.019718753374738,76.92409993589257
2734366.63,5.9,9,Ranipet,Industrial,No,Yes,Sandy,Not Available,Yes,Yes,Withheld pending court,Yes,Yes,No,Yes,Joint,164.0,Delayed,ACQ_SYN_008169,Ranipet,Kallikudi 7,228/898,High,12.91640231877584,79.33050837089944
657670.41,8.6,17,Kancheepuram,Agricultural,No,No,Saline,Not Available,Yes,No,Withheld pending court,Yes,Yes,No,Yes,Joint,136.0,Delayed,ACQ_SYN_018891,Kancheepuram,Madhavaram 13,195/763,High,12.85926194318272,79.61505225329688
1126914.92,8.3,7,Tirunelveli,Residential,Yes,Yes,Black Cotton,Available,Yes,Yes,Withheld pending court,Yes,Yes,Yes,Yes,Joint,275.0,Delayed,ACQ_SYN_000127,Tirunelveli,Manapakkam 7,35/152,High,8.756735513754256,77.70734943344591
385997.99,6.2,10,Thanjavur,Barren,No,No,Sandy,Not Available,No,No,To be paid,Yes,Yes,No,No,Joint,137.0,Delayed,ACQ_SYN_012407,Thanjavur,Nandambakkam 15,242/945,High,10.745745922450496,79.14162680536995
348230.0,6.8,8,Tirunelveli,Industrial,No,No,Red Soil,Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,Joint,0.0,No Delay,ACQ_SYN_016700,Tirunelveli,Nandambakkam 17,23/98,Low,8.665178859157626,77.75333913284958
2734095.86,6.3,7,Karur,Commercial,Yes,Yes,Sandy,Available,Yes,No,To be paid,Yes,Yes,Yes,Yes,Joint,0.0,No Delay,ACQ_SYN_010397,Karur,Nandambakkam 7,365/1437,Low,10.95397584029485,78.04849728244575
431116.63,9.1,13,Kancheepuram,Coastal,Yes,Yes,Saline,Not Available,Yes,No,Verification completed,Yes,Yes,No,Yes,Joint,130.0,Delayed,ACQ_SYN_007269,Kancheepuram,Sholinganallur 14,230/907,High,12.860004883586967,79.6973883097243
1269389.3,8.5,11,Krishnagiri,Residential,Yes,Yes,Saline,Not Available,Yes,Yes,Verification completed,Yes,Yes,No,Yes,Joint,127.0,Delayed,ACQ_SYN_013054,Krishnagiri,Ayappan Pattinam 5,150/581,High,12.531715650384855,78.20279890469911
476755.68,6.8,9,Thanjavur,Commercial,No,No,Loamy,Not Available,Yes,Yes,Verification completed,No,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_002971,Thanjavur,Kelambakkam 12,297/1173,Low,10.749994702811245,79.19198627840198
1389032.1,6.8,20,Krishnagiri,Coastal,Yes,Yes,Red Soil,Not Available,Yes,Yes,Verification pending,Yes,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_015253,Krishnagiri,Siruseri 19,83/322,Low,12.550786144236982,78.24412316041267
