Area (sq.ft),Soil pH,No. of Owners,No. of Objections,Valuation Gap (%),Land Use,Ownership,Flood Risk,Water Availability,Soil Type,Title Dispute,Court Case,Document Status,Acquisition Notice,Compensation Status,Road Access,Delay Days,Land ID,District,Taluk,Village
19277.0,7.9,1,3,19.0,Industrial,Individual,Low,High,Clay Loam,No,No,Incomplete,Issued,Under Review,Good,107.0,LND022,Coimbatore,Sulur,Kittampalayam
12924.0,7.6,5,6,1.0,Agricultural,Joint,Medium,Medium,Sandy Loam,No,No,Complete,Issued,Under Review,Moderate,83.0,LND023,Madurai,Melur,Arittapatti
14691.0,5.7,4,2,14.0,Agricultural,Government,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,64.0,LND024,Tiruchirappalli,Manachanallur,Samayapuram
14256.0,6.4,4,0,16.0,Commercial,Government,Medium,Medium,Clay Loam,No,No,Complete,Not Issued,Negotiation,Good,65.0,LND025,Salem,Omalur,Karuppur
15439.0,5.7,2,0,12.0,Commercial,Government,Low,High,Clay Loam,No,No,Complete,Issued,Paid,Poor,38.0,LND026,Tirunelveli,Palayamkottai,Pettai
22965.0,7.4,5,3,8.0,Commercial,Government,Medium,Low,Alluvial,No,No,Partial,Issued,Negotiation,Poor,200.0,LND027,Erode,Perundurai,Vijayamangalam
23394.0,6.3,4,3,30.0,Agricultural,Government,Low,Low,Black Soil,No,No,Partial,Issued,Under Review,Poor,354.0,LND028,Thanjavur,Orathanadu,Vandayarriruppu
22789.0,7.1,2,1,15.0,Residential,Government,Medium,High,Red Soil,No,No,Complete,Issued,Not Started,Good,121.0,LND029,Vellore,Katpadi,Kilur
16123.0,6.8,2,1,33.0,Industrial,Joint,Medium,Medium,Black Soil,No,No,Complete,Issued,Under Review,Poor,120.0,LND030,Dindigul,Nilakottai,Batlagundu
9365.0,7.3,5,6,10.0,Residential,Private Company,Low,Medium,Clay Loam,No,No,Partial,Issued,Paid,Moderate,121.0,LND031,Chennai,Ambattur,Mannurpet
9301.0,6.6,2,4,9.0,Commercial,Private Company,Medium,Medium,Alluvial,No,No,Complete,Issued,Not Started,Good,90.0,LND032,Coimbatore,Pollachi,Kinathukadavu
24347.0,6.9,1,6,1.0,Agricultural,Individual,Low,Medium,Sandy Loam,No,No,Partial,Issued,Paid,Poor,134.0,LND033,Madurai,Thirumangalam,Kappalur
1393.0,6.9,5,2,1.0,Commercial,Government,Medium,Medium,Clay Loam,No,No,Partial,Issued,Approved,Moderate,110.0,LND034,Tiruchirappalli,Srirangam,Allur
24929.0,6.9,5,1,3.0,Agricultural,Private Company,High,High,Sandy Loam,No,No,Complete,Issued,Approved,Good,31.0,LND035,Salem,Attur,Thammampatti
8135.0,6.2,3,0,22.0,Industrial,Government,Low,Medium,Sandy Loam,No,No,Partial,Not Issued,Paid,Good,29.0,LND036,Tirunelveli,Ambasamudram,Kallidaikurichi
22556.0,7.7,2,5,13.0,Residential,Individual,High,Low,Clay Loam,No,No,Complete,Issued,Not Started,Poor,270.0,LND037,Erode,Bhavani,Chithode
13287.0,8.1,5,3,15.0,Agricultural,Individual,Medium,Low,Red Soil,No,No,Complete,Issued,Under Review,Good,74.0,LND038,Thanjavur,Pattukkottai,Madukkur
23621.0,7.6,5,0,6.0,Mixed,Individual,Medium,High,Alluvial,Yes,No,Complete,Issued,Approved,Moderate,116.0,LND039,Vellore,Gudiyatham,Paradarami
24377.0,8.1,5,2,17.0,Agricultural,Private Company,Low,High,Alluvial,Yes,Yes,Incomplete,Issued,Under Review,Good,266.0,LND040,Dindigul,Oddanchatram,Kallimandayam
19872.0,7.8,4,2,17.0,Mixed,Private Company,Low,Medium,Black Soil,No,No,Complete,Issued,Negotiation,Poor,132.0,LND041,Chennai,Tiruvottiyur,Kathivakkam
7460.0,7.0,4,0,25.0,Residential,Joint,Medium,Medium,Black Soil,Yes,Yes,Complete,Not Issued,Negotiation,Good,328.0,LND042,Coimbatore,Sulur,Kittampalayam
22956.0,6.4,3,2,7.0,Mixed,Government,Low,High,Clay Loam,No,No,Partial,Issued,Negotiation,Good,85.0,LND043,Madurai,Melur,Arittapatti
18759.0,6.2,5,2,11.0,Agricultural,Joint,Low,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Moderate,99.0,LND044,Tiruchirappalli,Manachanallur,Samayapuram
5347.0,6.2,4,3,21.0,Commercial,Individual,High,High,Black Soil,No,No,Complete,Issued,Approved,Moderate,198.0,LND045,Salem,Omalur,Karuppur
16854.0,7.0,2,0,35.0,Residential,Individual,Low,Low,Red Soil,No,No,Incomplete,Issued,Under Review,Good,114.0,LND046,Tirunelveli,Palayamkottai,Pettai
21464.0,6.2,4,0,6.0,Agricultural,Private Company,Low,Medium,Clay Loam,No,No,Incomplete,Not Issued,Paid,Poor,87.0,LND047,Erode,Perundurai,Vijayamangalam
9871.0,5.6,4,0,18.0,Residential,Joint,Low,High,Red Soil,Yes,No,Partial,Issued,Under Review,Moderate,150.0,LND048,Thanjavur,Orathanadu,Vandayarriruppu
3532.0,7.1,4,5,9.0,Agricultural,Government,Medium,High,Black Soil,No,No,Incomplete,Issued,Under Review,Moderate,169.0,LND049,Vellore,Katpadi,Kilur
11279.0,7.3,3,0,20.0,Mixed,Government,Low,Medium,Sandy Loam,Yes,Yes,Incomplete,Not Issued,Approved,Poor,305.0,LND050,Dindigul,Nilakottai,Batlagundu
21618.860781586634,6.4251353587419375,5,0,0.0,Agricultural,Joint,Low,Medium,Clay Loam,No,No,Incomplete,Not Issued,Paid,Poor,111.82748675543866,REC0001,Kancheepuram,Sriperumbudur,Magadevimangalam
15932.678655966325,7.505127222296925,5,5,0.0,Agricultural,Individual,Medium,Medium,Sandy Loam,No,No,Complete,Issued,Under Review,Moderate,76.56574160678254,REC0002,Kancheepuram,Sriperumbudur,Magadevimangalam
4064.2921228874347,7.43817236209041,5,5,4.703537685583809,Agricultural,Individual,Medium,High,Black Soil,No,No,Incomplete,Issued,Under Review,Moderate,174.53489740340567,REC0003,Kancheepuram,Sriperumbudur,Magadevimangalam
18563.93026419469,7.163535090392182,4,1,2.075688182273697,Agricultural,Joint,High,High,Sandy Loam,No,No,Complete,Issued,Approved,Good,28.29418300721555,REC0004,Kancheepuram,Sriperumbudur,Magadevimangalam
4680.5526603570015,6.971501653351067,5,6,11.661545927766744,Agricultural,Individual,Medium,High,Black Soil,No,No,Incomplete,Issued,Under Review,Moderate,122.741701850825,REC0005,Kancheepuram,Sriperumbudur,Magadevimangalam
10442.626176836691,7.729246300902364,6,7,0.0,Agricultural,Individual,Medium,Medium,Sandy Loam,No,No,Complete,Issued,Under Review,Moderate,74.32610283527997,REC0006,Kancheepuram,Sriperumbudur,Magadevimangalam
3633.329787798307,7.438691687816267,4,5,4.799217615187359,Agricultural,Individual,Medium,High,Black Soil,No,No,Incomplete,Issued,Under Review,Moderate,141.30860799375964,REC0007,Kancheepuram,Sriperumbudur,Magadevimangalam
4128.448120453038,7.322976251361032,3,6,3.144024148187314,Agricultural,Joint,Medium,High,Black Soil,No,No,Incomplete,Issued,Under Review,Moderate,149.97397743613897,REC0008,Kancheepuram,Sriperumbudur,Magadevimangalam
23698.902207597752,6.235005742742219,6,3,15.35714388974095,Agricultural,Joint,Low,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Moderate,77.601297526393,REC0009,Kancheepuram,Sriperumbudur,Magadevimangalam
18028.380760548007,6.220273720846667,5,1,9.156441129192702,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Incomplete,Not Issued,Paid,Poor,97.7096327642947,REC0010,Kancheepuram,Sriperumbudur,Magadevimangalam
2758.372056810339,7.608336645526998,4,1,24.47470655617198,Agricultural,Individual,High,Low,Sandy Loam,Yes,No,Complete,Issued,Negotiation,Good,363.3437864345134,REC0011,Kancheepuram,Sriperumbudur,Magadevimangalam
18126.994561716292,7.295139068515258,4,7,33.813765325525026,Agricultural,Individual,Medium,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Poor,155.85429369961443,REC0012,Kancheepuram,Sriperumbudur,Magadevimangalam
19314.10885250341,6.095382478325469,2,6,29.28987940628577,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Not Started,Moderate,206.9806637854172,REC0013,Kancheepuram,Sriperumbudur,Magadevimangalam
16767.366923242444,7.260013835798955,6,5,3.4858037202688203,Agricultural,Individual,Medium,Medium,Sandy Loam,No,No,Complete,Issued,Under Review,Moderate,72.72096913678084,REC0014,Kancheepuram,Sriperumbudur,Magadevimangalam
27170.67816800101,6.947561907323014,5,2,1.453267301398808,Agricultural,Individual,High,High,Sandy Loam,No,No,Complete,Issued,Approved,Good,36.840779154788244,REC0015,Kancheepuram,Sriperumbudur,Magadevimangalam
15323.871503184031,6.091083846030479,4,1,5.020801772054802,Agricultural,Joint,Low,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Moderate,96.73550747693241,REC0016,Kancheepuram,Sriperumbudur,Magadevimangalam
15436.294153730458,5.844223997671773,3,2,17.326925544863933,Agricultural,Joint,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,59.43121508210493,REC0017,Kancheepuram,Sriperumbudur,Magadevimangalam
22208.87213801045,8.07608453672808,5,2,9.764437637884564,Agricultural,Individual,Low,High,Alluvial,Yes,Yes,Incomplete,Issued,Under Review,Good,205.03374197843422,REC0018,Kancheepuram,Sriperumbudur,Magadevimangalam
32527.749853660676,6.628356283391982,2,6,7.496141488930327,Agricultural,Individual,Low,Medium,Sandy Loam,No,No,Partial,Issued,Paid,Poor,156.4115726788499,REC0019,Kancheepuram,Sriperumbudur,Magadevimangalam
15532.362163283602,7.319914695997037,6,5,0.0,Agricultural,Individual,Medium,Medium,Sandy Loam,No,No,Complete,Issued,Under Review,Moderate,103.0495993478833,REC0020,Kancheepuram,Sriperumbudur,Magadevimangalam
19689.66198921373,6.430327093063757,4,4,27.02925022151603,Agricultural,Individual,Low,Low,Black Soil,No,No,Partial,Issued,Under Review,Poor,400.0,REC0021,Kancheepuram,Sriperumbudur,Magadevimangalam
3324.8328750594314,7.641152187280859,3,2,17.109260727617215,Agricultural,Individual,High,Low,Sandy Loam,Yes,No,Complete,Issued,Negotiation,Good,346.65139784472166,REC0022,Kancheepuram,Sriperumbudur,Magadevimangalam
18504.849451498954,8.153782690486894,5,3,23.79593787620218,Agricultural,Individual,Low,High,Alluvial,Yes,Yes,Incomplete,Issued,Under Review,Good,238.84584948831255,REC0023,Kancheepuram,Sriperumbudur,Magadevimangalam
10354.281431833353,8.038990867365868,4,6,0.0,Agricultural,Individual,Medium,Medium,Sandy Loam,No,No,Complete,Issued,Under Review,Moderate,104.1709818951645,REC0024,Kancheepuram,Sriperumbudur,Magadevimangalam
2546.5267394340162,7.990545284044321,3,1,9.64596852748671,Agricultural,Individual,High,Low,Sandy Loam,Yes,No,Complete,Issued,Negotiation,Good,326.49608051469426,REC0025,Kancheepuram,Sriperumbudur,Magadevimangalam
4407.634575853608,7.351437970368314,3,5,23.56931233003665,Agricultural,Individual,Medium,High,Black Soil,No,No,Incomplete,Issued,Under Review,Moderate,213.39560253446328,REC0026,Kancheepuram,Sriperumbudur,Magadevimangalam
13330.363913482048,7.68031343870315,5,7,0.0,Agricultural,Individual,Medium,Medium,Sandy Loam,No,No,Complete,Issued,Under Review,Moderate,79.95779072319132,REC0027,Kancheepuram,Sriperumbudur,Magadevimangalam
12588.406209493418,8.119794069236292,4,7,32.20682581480656,Agricultural,Joint,Medium,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Poor,155.8956746046379,REC0028,Kancheepuram,Sriperumbudur,Magadevimangalam
28534.93772362204,8.083865234754503,4,3,17.65137260736443,Agricultural,Individual,Low,High,Alluvial,Yes,Yes,Incomplete,Issued,Under Review,Good,203.3954549745611,REC0029,Kancheepuram,Sriperumbudur,Magadevimangalam
32654.398275495736,6.544516870074893,1,5,0.0,Agricultural,Individual,Low,Medium,Sandy Loam,No,No,Partial,Issued,Paid,Poor,123.62215162254007,REC0030,Kancheepuram,Sriperumbudur,Magadevimangalam
26783.820804216437,5.929121846573892,3,5,26.924754830529317,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Not Started,Moderate,220.97850678104732,REC0031,Kancheepuram,Sriperumbudur,Magadevimangalam
11681.605710860214,7.903563691371183,4,2,12.7250825982961,Agricultural,Joint,Medium,Low,Red Soil,No,No,Complete,Issued,Under Review,Good,71.11830946413488,REC0032,Kancheepuram,Sriperumbudur,Magadevimangalam
24840.18168637315,6.6737273769231304,6,3,10.406808369450587,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Moderate,100.12018660695507,REC0033,Kancheepuram,Sriperumbudur,Magadevimangalam
13532.619590312326,5.765814750409157,4,2,19.531443550299443,Agricultural,Joint,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,48.42752005356218,REC0034,Kancheepuram,Sriperumbudur,Magadevimangalam
11742.01901254697,7.732659290483849,6,4,23.254639661156247,Agricultural,Joint,Medium,Low,Red Soil,No,No,Complete,Issued,Under Review,Good,88.70140264234584,REC0035,Kancheepuram,Sriperumbudur,Magadevimangalam
17327.8662004197,6.085043803659204,4,0,0.4647715897825604,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Incomplete,Not Issued,Paid,Poor,77.09889572538495,REC0036,Kancheepuram,Sriperumbudur,Magadevimangalam
33647.04895166174,8.098463439983979,6,2,18.687872743994667,Agricultural,Individual,Low,High,Alluvial,Yes,Yes,Incomplete,Issued,Under Review,Good,222.85310238781727,REC0037,Kancheepuram,Sriperumbudur,Magadevimangalam
18534.49427402851,6.493181637983057,5,2,29.75640799034941,Agricultural,Joint,Low,Low,Black Soil,No,No,Partial,Issued,Under Review,Poor,395.2613413305491,REC0038,Kancheepuram,Sriperumbudur,Magadevimangalam
12338.132868976534,5.599762967789757,4,1,7.36803641130218,Agricultural,Individual,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,49.832617659800825,REC0039,Kancheepuram,Sriperumbudur,Magadevimangalam
14756.34832187377,6.346554256234779,4,2,9.361634528190196,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Moderate,98.32189229388108,REC0040,Kancheepuram,Sriperumbudur,Magadevimangalam
18189.05635146816,8.05364829622503,5,4,13.880705915597503,Agricultural,Individual,Medium,Low,Red Soil,No,No,Complete,Issued,Under Review,Good,76.45079307931101,REC0041,Kancheepuram,Sriperumbudur,Magadevimangalam
24550.149257985966,5.87468357832999,5,0,7.141141650694526,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Incomplete,Not Issued,Paid,Poor,111.33730581387408,REC0042,Kancheepuram,Sriperumbudur,Magadevimangalam
29043.28729989885,6.113784991535248,4,0,3.0464649301825677,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Incomplete,Not Issued,Paid,Poor,61.83108012359875,REC0043,Kancheepuram,Sriperumbudur,Magadevimangalam
18926.322246410826,7.8812748486769175,4,3,6.263554851306726,Agricultural,Individual,Low,High,Alluvial,Yes,Yes,Incomplete,Issued,Under Review,Good,270.9108266596089,REC0044,Kancheepuram,Sriperumbudur,Magadevimangalam
4617.7977893158095,7.7633125881776515,4,4,4.615696109162059,Agricultural,Joint,Medium,High,Black Soil,No,No,Incomplete,Issued,Under Review,Moderate,184.4058059938094,REC0045,Kancheepuram,Sriperumbudur,Magadevimangalam
31827.4560878917,6.459886426382703,1,5,0.0,Agricultural,Joint,Low,Medium,Sandy Loam,No,No,Partial,Issued,Paid,Poor,153.7795481315731,REC0046,Kancheepuram,Sriperumbudur,Magadevimangalam
11366.348189795865,5.3485300113523975,5,2,15.707777754702548,Agricultural,Individual,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,76.46710491352351,REC0047,Kancheepuram,Sriperumbudur,Magadevimangalam
16146.074885559836,7.726416646217367,6,7,35.17383037233309,Agricultural,Individual,Medium,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Poor,131.49563945981694,REC0048,Kancheepuram,Sriperumbudur,Magadevimangalam
11471.36516771541,5.628547876807601,3,3,15.16084944813128,Agricultural,Individual,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,46.84986621288353,REC0049,Kancheepuram,Sriperumbudur,Magadevimangalam
23906.617608304117,6.503814745345949,5,0,7.758782041996017,Agricultural,Joint,Low,Medium,Clay Loam,No,No,Incomplete,Not Issued,Paid,Poor,87.23626957256042,REC0050,Kancheepuram,Sriperumbudur,Magadevimangalam
31548.65120276817,6.994948278501993,2,6,15.070419316323918,Agricultural,Joint,Low,Medium,Sandy Loam,No,No,Partial,Issued,Paid,Poor,113.85076109690984,REC0051,Kancheepuram,Sriperumbudur,Magadevimangalam
26778.3609603869,7.015753965766951,1,5,0.0,Agricultural,Individual,Low,Medium,Sandy Loam,No,No,Partial,Issued,Paid,Poor,160.81006772460023,REC0052,Kancheepuram,Sriperumbudur,Magadevimangalam
23718.09399422746,7.276624203907742,4,7,35.27210169107182,Agricultural,Individual,Medium,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Poor,194.44910366114527,REC0053,Kancheepuram,Sriperumbudur,Magadevimangalam
4455.3287863884325,7.179115161306956,4,5,7.539144070982225,Agricultural,Individual,Medium,High,Black Soil,No,No,Incomplete,Issued,Under Review,Moderate,131.9435939330931,REC0054,Kancheepuram,Sriperumbudur,Magadevimangalam
22750.895780036935,6.641447591897947,4,1,4.8157486774515785,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Incomplete,Not Issued,Paid,Poor,94.28520275857714,REC0055,Kancheepuram,Sriperumbudur,Magadevimangalam
16630.30976109886,6.088425625603613,5,2,12.639977418570549,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Moderate,83.1146544674151,REC0056,Kancheepuram,Sriperumbudur,Magadevimangalam
14051.57003627818,5.601442433063132,4,2,8.735507446480256,Agricultural,Individual,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,56.20005662353736,REC0057,Kancheepuram,Sriperumbudur,Magadevimangalam
31914.10763630507,6.474796572596312,5,3,35.887059444888465,Agricultural,Individual,Low,Low,Black Soil,No,No,Partial,Issued,Under Review,Poor,361.52634935989266,REC0058,Kancheepuram,Sriperumbudur,Magadevimangalam
16994.712434117922,5.948396453039118,5,2,14.332729079296024,Agricultural,Individual,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,55.86517558460653,REC0059,Kancheepuram,Sriperumbudur,Magadevimangalam
30274.40615026326,6.546508913065541,5,2,2.0467447124742026,Agricultural,Joint,High,High,Sandy Loam,No,No,Complete,Issued,Approved,Good,33.12746317407971,REC0060,Kancheepuram,Sriperumbudur,Magadevimangalam
29411.198881067103,7.119232407341594,1,6,0.6652341355089958,Agricultural,Joint,Low,Medium,Sandy Loam,No,No,Partial,Issued,Paid,Poor,170.89397177109007,REC0061,Kancheepuram,Sriperumbudur,Magadevimangalam
26674.696416172446,6.653368529983017,2,7,21.50534785710627,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Not Started,Moderate,277.60795605419725,REC0062,Kancheepuram,Sriperumbudur,Magadevimangalam
16351.863485096243,5.498657916781026,3,2,10.738432542917021,Agricultural,Individual,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,66.49410348054177,REC0063,Kancheepuram,Sriperumbudur,Magadevimangalam
25749.807611715514,5.61261314742057,5,3,30.36016786616289,Agricultural,Individual,Low,Low,Black Soil,No,No,Partial,Issued,Under Review,Poor,400.0,REC0064,Kancheepuram,Sriperumbudur,Magadevimangalam
3954.8348248205066,6.9226689724426675,4,6,1.092028002730288,Agricultural,Individual,Medium,High,Black Soil,No,No,Incomplete,Issued,Under Review,Moderate,127.1936938077519,REC0065,Kancheepuram,Sriperumbudur,Magadevimangalam
24556.270978020297,6.453975195753022,3,7,29.068818449831053,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Not Started,Moderate,197.1400014443305,REC0066,Kancheepuram,Sriperumbudur,Magadevimangalam
23706.938644173806,6.681102971784518,6,6,32.262356598798235,Agricultural,Individual,Medium,High,Black Soil,No,No,Complete,Issued,Negotiation,Moderate,211.35481912054993,REC0067,Kancheepuram,Sriperumbudur,Magadevimangalam
11803.459868212136,5.999947274073088,4,2,13.374954848402112,Agricultural,Individual,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,72.8199312132113,REC0068,Kancheepuram,Sriperumbudur,Magadevimangalam
18007.844403585852,8.160691857549358,5,3,15.057130277803296,Agricultural,Individual,Medium,Low,Red Soil,No,No,Complete,Issued,Under Review,Good,95.6064405946399,REC0069,Kancheepuram,Sriperumbudur,Magadevimangalam
15976.716179046285,8.352546020067019,5,2,26.638265501730423,Agricultural,Individual,Medium,Low,Red Soil,No,No,Complete,Issued,Under Review,Good,80.08608044920963,REC0070,Kancheepuram,Sriperumbudur,Magadevimangalam
20855.892274995826,6.062690170712952,4,2,17.547753424302634,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Moderate,118.32873096506148,REC0071,Kancheepuram,Sriperumbudur,Magadevimangalam
22076.674333036786,6.419616618864344,1,6,3.1981830300849676,Agricultural,Joint,Low,Medium,Sandy Loam,No,No,Partial,Issued,Paid,Poor,167.64272839945056,REC0072,Kancheepuram,Sriperumbudur,Magadevimangalam
14937.969422103184,5.906968969010206,6,4,30.64111983180832,Agricultural,Individual,Medium,High,Black Soil,No,No,Complete,Issued,Negotiation,Moderate,319.7686941138858,REC0073,Kancheepuram,Sriperumbudur,Magadevimangalam
16388.286106078922,6.2414724296176045,2,5,26.146056870575343,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Not Started,Moderate,157.1105347210673,REC0074,Kancheepuram,Sriperumbudur,Magadevimangalam
14084.429847990792,7.859032828997087,4,7,31.03129413887714,Agricultural,Individual,Medium,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Poor,165.15797496307061,REC0075,Kancheepuram,Sriperumbudur,Magadevimangalam
13606.163400319003,6.164737349801561,4,1,1.0346981447292212,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Moderate,116.90801956504927,REC0076,Kancheepuram,Sriperumbudur,Magadevimangalam
19018.765717968006,5.4965206679534475,3,3,12.575579668087126,Agricultural,Individual,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,74.44896252560821,REC0077,Kancheepuram,Sriperumbudur,Magadevimangalam
15362.559108497933,7.998305839680307,5,5,0.0,Agricultural,Individual,Medium,Medium,Sandy Loam,No,No,Complete,Issued,Under Review,Moderate,64.32119922942103,REC0078,Kancheepuram,Sriperumbudur,Magadevimangalam
17946.991155295338,5.727637997530233,4,1,11.027998239006324,Agricultural,Joint,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,73.00944993031021,REC0079,Kancheepuram,Sriperumbudur,Magadevimangalam
20818.931928109636,6.792594993577672,4,2,11.60384915582992,Agricultural,Individual,High,High,Sandy Loam,No,No,Complete,Issued,Approved,Good,33.074711071173496,REC0080,Kancheepuram,Sriperumbudur,Magadevimangalam
26468.352429739287,6.44240912653896,3,2,20.845470870762348,Agricultural,Individual,Low,Low,Black Soil,No,No,Partial,Issued,Under Review,Poor,284.57235458013963,REC0081,Kancheepuram,Sriperumbudur,Magadevimangalam
19050.859067934005,6.739829928487934,5,2,0.0,Agricultural,Individual,High,High,Sandy Loam,No,No,Complete,Issued,Approved,Good,36.283905639150184,REC0082,Kancheepuram,Sriperumbudur,Magadevimangalam
26831.500749579187,8.208576556178652,5,1,15.286069245678103,Agricultural,Individual,Low,High,Alluvial,Yes,Yes,Incomplete,Issued,Under Review,Good,278.4515476428837,REC0083,Kancheepuram,Sriperumbudur,Magadevimangalam
